Date	Price	Open	High	Low	Vol.	Change %
Feb 28, 2019	20659.46	20423.69	20683.05	20423.28	568.12M	0.78%
Feb 27, 2019	20498.79	20409.39	20560.99	20398.17	529.03M	0.19%
Feb 26, 2019	20459.59	20373.81	20507.08	20337.41	439.08M	0.11%
Feb 25, 2019	20436.96	20428.06	20488.26	20403.17	488.60M	0.86%
Feb 22, 2019	20262.51	20195.29	20292.65	20194.97	447.08M	0.26%
Feb 21, 2019	20209.72	20310.35	20345.6	20157.42	498.77M	-0.47%
Feb 20, 2019	20304.21	20270.74	20310.57	20158.83	436.18M	0.38%
Feb 19, 2019	20228.19	20299.83	20360.66	20124.97	421.89M	-0.50%
Feb 18, 2019	20329.83	20231.77	20348.44	20225.76	452.66M	0.58%
Feb 15, 2019	20212.34	19799.82	20270.53	19788.76	737.60M	1.90%
Feb 14, 2019	19834.96	20076.67	20090.93	19813.35	460.87M	-0.78%
Feb 13, 2019	19989.9	19878.07	20047.76	19844.46	411.61M	0.93%
Feb 12, 2019	19805.28	19743.46	19860.61	19673.94	402.73M	1.12%
Feb 11, 2019	19586.56	19434.61	19685.67	19424.54	440.22M	1.21%
Feb 08, 2019	19351.9	19461.78	19593.12	19267.89	483.00M	-0.65%
Feb 07, 2019	19478.32	19941.19	20002.03	19478.32	618.93M	-2.59%
Feb 06, 2019	19996.47	19763.5	20009.94	19752.91	453.62M	0.82%
Feb 05, 2019	19833.49	19650.92	19847.63	19575.45	515.77M	1.16%
Feb 04, 2019	19605.6	19564.5	19660.43	19494.42	433.71M	0.15%
Feb 01, 2019	19576.77	19752.12	19840	19356.43	576.93M	-0.78%
Jan 31, 2019	19730.78	19859.07	19904.79	19541.57	884.88M	-0.21%
Jan 30, 2019	19771.55	19728.71	19771.55	19669.77	376.03M	0.36%
Jan 29, 2019	19701.6	19593.97	19771.13	19559.64	391.27M	0.48%
Jan 28, 2019	19608.13	19734.95	19776.29	19569.24	378.10M	-1.02%
Jan 25, 2019	19810.52	19671.72	19824.8	19651.87	426.66M	1.26%
Jan 24, 2019	19564.48	19417.34	19663.45	19376.96	527.08M	0.85%
Jan 23, 2019	19400.15	19351.27	19555	19277.33	489.15M	-0.19%
Jan 22, 2019	19437.27	19522.59	19584.22	19412.6	664.41M	-1.03%
Jan 21, 2019	19638.64	19606.19	19638.64	19529.68	388.30M	-0.35%
Jan 18, 2019	19708.06	19636.71	19723	19542.96	786.97M	1.22%
Jan 17, 2019	19470.38	19357.08	19511.86	19314.34	353.53M	-0.04%
Jan 16, 2019	19477.77	19253.44	19477.77	19241	441.88M	1.63%
Jan 15, 2019	19165.48	19316.11	19379.2	19028.48	478.39M	-0.03%
Jan 14, 2019	19171.48	19163.26	19235.23	19016.16	352.63M	-0.61%
Jan 11, 2019	19290.09	19372.75	19385.6	19187.38	368.92M	-0.06%
Jan 10, 2019	19300.74	19100.51	19300.74	19037.52	365.59M	0.63%
Jan 09, 2019	19179.16	19151.96	19297.11	19125.35	421.75M	0.94%
Jan 08, 2019	19000.14	18978.14	19193.13	18922.45	411.45M	0.25%
Jan 07, 2019	18953.27	18917.43	18968.04	18800.2	337.62M	0.65%
Jan 04, 2019	18831.79	18375.6	18832.17	18373.35	427.68M	3.37%
Jan 03, 2019	18218.4	18211.83	18425.18	18152.75	432.40M	-0.61%
Jan 02, 2019	18330.99	18191.76	18409.72	17959.39	354.55M	0.04%
